PN1	8.25	10,00	7
PN2	10.0	43,00	7
PN3	0.25	28,00	8
PN4	6.75	50,00	2
PN5	20.75	36,00	6
PN6	13.5	50,00	4
PN7	13.0	50,00	8
PN8	19.25	1,00	9
PN9	7.25	50,00	6
PN10	20.75	37,00	1
PN11	11.75	5,00	5
PN12	7.75	46,00	9
PN13	17.5	50,00	2
PN14	5.25	50,00	7
PN15	21.5	14,00	5
PN16	9.25	20,00	5
PN17	13.0	40,00	9
PN18	6.0	0,00	3
PN19	7.25	46,00	3
PN20	22.0	34,00	8
PN21	19.75	50,00	8
PN22	21.75	50,00	2
PN23	18.25	43,00	9
PN24	9.0	50,00	10
PN25	11.25	50,00	2
PN26	23.5	15,00	7
PN27	15.5	50,00	9
PN28	8.25	50,00	1
PN29	17.25	36,00	2
PN30	10.0	25,00	1
PN31	10.75	25,00	9
PN32	14.75	50,00	2
ON1	17.0	50,00	8
ON2	16.5	50,00	2
ON3	15.25	50,00	9
ON4	6.5	50,00	4
ON5	11.0	50,00	5
ON6	0.25	50,00	4
ON7	8.25	50,00	7
ON8	8.5	50,00	2
ON9	17.25	26,00	9
ON10	2.75	50,00	4
ON11	11.75	50,00	3
ON12	11.25	50,00	5
ON13	13.75	50,00	7
ON14	16.0	35,00	5
ON15	15.5	36,00	9
ON16	0.75	35,00	3
ON17	1.75	50,00	10
ON18	21.75	50,00	8
ON19	8.0	19,00	7
ON20	3.25	36,00	4
ON21	21.0	50,00	7
ON22	3.5	50,00	3
ON23	12.5	50,00	8
ON24	14.5	50,00	3
ON25	25.0	50,00	3
ON26	22.75	50,00	9
ON27	2.25	50,00	5
ON28	19.25	4,00	2
ON29	0.5	2,00	9
ON30	14.75	50,00	8
ON31	9.0	18,00	1
ON32	18.25	50,00	10
NN1	0.5	6,00	10
NN2	7.0	48,00	3
NN3	8.0	50,00	2
NN4	24.5	4,00	2
NN5	10.0	50,00	5
NN6	5.5	29,00	2
NN7	14.5	0,00	3
NN8	5.25	30,00	2
NN9	16.25	21,00	4
NN10	16.0	50,00	10
NN11	14.5	50,00	9
NN12	5.5	50,00	9
NN13	21.5	50,00	5
NN14	0.5	17,00	6
NN15	2.25	50,00	6
NN16	10.25	17,00	2
NN17	1.5	50,00	2
NN18	13.5	50,00	8
NN19	17.75	36,00	4
NN20	15.5	50,00	9
NN21	2.5	43,00	9
NN22	22.0	36,00	9
NN23	24.25	49,00	5
NN24	21.25	50,00	3
NN25	0.0	0,00	1
NN26	22.25	50,00	6
NN27	7.0	50,00	5
NN28	18.25	50,00	2
NN29	23.0	50,00	8
NN30	21.5	48,00	8
NN31	8.5	6,00	7
NN32	24.0	50,00	7
MN1	19.75	32,00	6
MN2	21.75	16,00	4
MN3	21.75	50,00	7
MN4	8.25	9,00	2
MN5	18.25	48,00	6
MN6	0.25	50,00	5
MN7	19.75	35,00	4
MN8	15.0	14,00	7
MN9	19.0	50,00	6
MN10	4.5	50,00	8
MN11	1.0	50,00	9
MN12	15.0	50,00	6
MN13	24.25	50,00	6
MN14	18.75	49,00	7
MN15	18.75	50,00	10
MN16	12.75	50,00	5
MN17	22.5	5,00	4
MN18	11.5	50,00	10
MN19	7.75	50,00	1
MN20	24.5	50,00	9
MN21	17.75	13,00	7
MN22	17.5	50,00	4
MN23	17.25	50,00	2
MN24	16.0	50,00	8
MN25	3.75	22,00	6
MN26	7.5	0,00	7
MN27	3.25	50,00	9
